App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
tensorflowJava,EagerOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerOperationBuilder.java,,,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
tensorflowJava,EagerOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerOperation.java,,,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
tensorflowJava,EagerSessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerSessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerSession.java,,,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
tensorflowJava,GraphOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\GraphOperationBuilder.java,,,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,true,false
tensorflowJava,GraphOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\GraphOperation.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,GraphTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Graph.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,SavedModelBundleTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\SavedModelBundleTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\SavedModelBundle.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,SessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\SessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Session.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,ShapeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\ShapeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Shape.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,TensorFlowTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\TensorFlowTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\TensorFlow.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,TensorTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\TensorTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Tensor.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,ConstantTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\ConstantTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Constant.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
